title,author,press_time,money,rating_num,rating_people,short_produce
挪威的森林,[日] 村上春树 , 2007-7 , 23.00元,8.5,107801人评价,像喜欢春天的熊一样
香水,[德] 帕·聚斯金德 , 2005-5 , 20.00元,8.5,37080人评价,每一次谋杀只因迷恋她们身上的味道
ZOO,[日] 乙一 , 2007-10 , 20.00元,8.6,36326人评价,噩梦中的一丝温度
美丽新世界,[英] 赫胥黎 , 2017-6 , 45.00元,9.1,14544人评价,空
社会契约论,卢梭 , 2003-2-1 , 18.00元,8.8,14532人评价,一个国家只能有一个契约
金阁寺,[日] 三岛由纪夫 , 2009-1 ,24,8.7,21734人评价,他的犯罪动机是对美的嫉妒
哈姆莱特,[英] 莎士比亚 , 2001-1 , 7.00元,8.6,37606人评价,生存还是毁灭，这是一个值得思考的问题
多情剑客无情剑(上、中、下),古龙 , 1991-12-01 ,49.8,8.7,17953人评价,流水滔滔斩不断，情丝百结冲不破
了不起的盖茨比,[美] 斯科特·菲茨杰拉德 , 2012-5 , 25.00元,8.7,29610人评价,空
美丽新世界,[英] 阿道司·赫胥黎 , 2005-6 , 20.00元,8.7,22828人评价,最经典的反乌托邦文学之一
老人与海,海明威 , 1999-10 , 8.20元,8.4,161732人评价,正是悲壮赋予生活以意义
安娜·卡列尼娜,[俄] 列夫·托尔斯泰 , 2007-8 , 37.00元,9.2,12594人评价,空
告白,[日]凑佳苗 , 哈尔滨出版社 , 26.00元,8.5,11957人评价,空
一个人的村庄,刘亮程 , 2006-1 , 28.00元,8.9,12685人评价,他是真正的作家，也是真正的农民
骆驼祥子,老舍 , 2000-3-1 ,12,8.4,159933人评价,旧中国老北京贫苦市民的典型命运
规训与惩罚,[法] 米歇尔·福柯 , 2003-1 , 21.80元,9.2,6834人评价,伴随着惩罚的人性化，自由反而日益丧失了
别闹了，费曼先生,[美] 理查德·费曼 , 1997-12 ,22,8.9,8994人评价,科学顽童的故事
美国宪政历程,任东来 , 2014-1 , 35.00元,9.1,7008人评价,25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中
少年凯歌,陈凯歌 , 2001-6 , 10.00元,9.2,5661人评价,空
通往奴役之路,弗里德利希・冯・哈耶克 , 1997-08-01 ,16,8.8,13101人评价,古典自由主义杰作
